order_id,customer_id,order_date,status,category,payment_method,quantity,discount_percent,amount,delivery_days,rating
O100114,C00467,2025-02-09,completed,beauty,card,1,20.0,1240.24,8.0,3.0
O100115,C00182,2025-04-30,completed,home,card,2,4.0,176.47,15.0,3.0
O100116,C01783,2024-05-27,completed,home,wallet,5,19.0,9512.38,7.0,4.0
O100117,C00747,2025-07-15,delivered,clothing,card,4,20.0,1024.08,9.0,2.0
O100118,C01797,2026-07-31,delivered,electronics,card,4,17.0,1577.37,6.0,5.0
O100119,C00697,2026-05-05,delivered,home,sbp,5,4.0,2509.84,3.0,5.0
O100120,C01513,2026-04-23,delivered,electronics,card,1,28.0,150.0,5.0,
O100121,C01287,2026-07-31,completed,toys,card,5,27.0,1743.22,11.0,2.0
O100122,,2026-03-03,processing,electronics,sbp,4,29.0,4358.72,9.0,
O100123,C01305,2026-02-20,cancelled,electronics,card,2,,1633.18,,
O100124,C00614,2025-12-10,completed,beauty,wallet,2,2.0,660.36,20.0,1.0
O100125,C00207,2026-02-11,delivered,electronics,card,2,13.0,1168.62,17.0,2.0
O100126,C00022,2025-10-29,completed,clothing,sbp,4,29.0,2851.27,20.0,2.0
O100127,C00841,2025-09-05,processing,toys,wallet,2,10.0,801.21,16.0,
O100128,C01784,2026-07-31,completed,beauty,sbp,2,9.0,1461.38,5.0,5.0
O100129,C01286,2024-06-15,completed,electronics,card,3,27.0,779.19,8.0,3.0
O100130,C01349,2025-12-30,processing,electronics,card,4,,925.21,8.0,
O100131,C00518,2024-03-18,delivered,home,card,3,23.0,1165.63,13.0,3.0
O100132,C00973,2026-03-05,completed,clothing,card,1,17.0,150.0,3.0,4.0
O100133,C00815,2026-05-16,delivered,electronics,sbp,1,8.0,858.01,11.0,3.0
O100134,C00273,2025-01-16,cancelled,electronics,card,5,20.0,2633.2,,
O100135,C01228,2026-07-31,completed,beauty,card,3,10.0,1237.53,5.0,5.0
O100136,C00727,2026-02-14,delivered,clothing,cash,1,25.0,931.91,11.0,3.0
O100137,C00806,2026-07-31,delivered,beauty,card,2,19.0,1343.23,6.0,4.0
O100138,,2026-05-30,delivered,electronics,cash,1,0.0,1154.06,14.0,3.0
O100139,C00062,2026-01-29,processing,home,card,2,30.0,3487.78,15.0,
O100140,C01873,2025-07-05,delivered,clothing,cash,1,23.0,641.91,12.0,3.0
O100141,C00446,2026-06-22,delivered,clothing,card,5,12.0,1385.26,15.0,2.0
O100142,C01359,2024-05-02,cancelled,home,sbp,2,19.0,1759.98,,
O100143,C01553,2025-05-14,completed,electronics,card,1,25.0,277.79,15.0,2.0
O100144,C00308,2025-09-06,completed,beauty,cash,4,15.0,1071.15,2.0,5.0
O100145,C00498,2025-11-11,processing,home,card,5,22.0,1949.46,7.0,
O100146,C00825,2026-03-14,delivered,electronics,card,3,25.0,3733.55,9.0,3.0
O100147,C01636,2025-05-19,completed,home,cash,1,21.0,897.98,11.0,3.0
O100148,C01272,2025-03-09,completed,toys,sbp,3,15.0,3002.76,12.0,2.0
O100149,C00934,2026-07-23,completed,clothing,card,4,7.0,2174.62,4.0,
O100150,C01699,2025-08-05,completed,clothing,cash,5,6.0,3885.33,11.0,4.0
O100151,C00946,2024-05-14,completed,beauty,card,1,0.0,796.88,14.0,1.0
O100152,C01772,2024-12-15,delivered,electronics,cash,3,14.0,852.33,8.0,4.0
O100153,C01542,2025-06-22,completed,home,sbp,1,14.0,788.89,8.0,4.0
O100154,C00345,2026-07-31,delivered,electronics,cash,3,11.0,1473.6,8.0,4.0
O100155,C00767,2026-05-11,processing,home,card,1,18.0,356.39,7.0,
O100156,C00051,2026-05-20,processing,clothing,card,3,9.0,1111.01,14.0,
O100157,C00477,2026-07-31,cancelled,electronics,card,3,14.0,950.2,,
O100158,C00046,2026-07-31,completed,beauty,card,5,24.0,1967.85,4.0,5.0
O100159,C00211,2024-09-08,delivered,clothing,cash,1,,489.56,1.0,5.0
O100160,C00009,2024-09-20,delivered,clothing,cash,2,2.0,1677.66,11.0,4.0
O100161,C01344,2026-01-20,completed,home,sbp,3,8.0,4944.56,9.0,3.0
O100162,C00820,2026-07-31,cancelled,clothing,card,1,12.0,776.5,,
O100163,C00940,2025-11-19,delivered,electronics,cash,1,26.0,541.17,11.0,3.0
O100164,C01529,2024-06-27,delivered,home,card,3,1.0,298.42,10.0,3.0
O100165,C01619,2024-11-09,completed,toys,card,2,5.0,6824.61,2.0,4.0
O100166,C01066,2025-12-01,completed,electronics,card,4,8.0,1118.71,16.0,3.0
O100167,C00916,2025-10-10,cancelled,beauty,card,1,0.0,287.01,,
O100168,C01300,2025-01-10,completed,home,card,1,28.0,1354.71,4.0,4.0
O100169,C00830,2025-01-14,completed,electronics,sbp,2,3.0,408.37,20.0,2.0
O100170,C00885,2026-07-31,delivered,home,card,5,19.0,3317.16,1.0,5.0
O100171,C00598,2026-07-31,delivered,clothing,card,3,13.0,1020.75,10.0,5.0
O100172,C00380,2024-11-25,completed,beauty,card,2,26.0,805.12,7.0,3.0
O100173,C00399,2025-03-20,completed,home,card,3,17.0,1538.21,9.0,4.0
O100174,C01311,2025-05-20,cancelled,electronics,card,4,27.0,758.52,,
O100175,C01661,2025-08-21,processing,electronics,cash,3,21.0,1339.2,12.0,
O100176,C00848,2024-04-05,delivered,clothing,card,1,25.0,1119.64,13.0,2.0
O100177,C00191,2025-11-02,cancelled,clothing,card,2,17.0,928.39,,
O100178,C01221,2026-01-11,completed,toys,card,5,2.0,40469.2,2.0,4.0
O100179,C01805,2025-01-13,delivered,beauty,card,4,19.0,2120.87,3.0,5.0
O100180,C01056,2026-07-31,delivered,beauty,card,2,11.0,378.37,18.0,1.0
O100181,C99999,2026-02-22,cancelled,clothing,card,5,,1623.28,,
O100182,C00164,2025-03-11,cancelled,electronics,sbp,1,13.0,150.0,,
O100183,C01045,2026-03-16,completed,home,sbp,1,13.0,1166.88,16.0,2.0
O100184,C01724,2026-04-03,completed,electronics,card,1,30.0,1780.01,8.0,2.0
O100185,C00117,2024-03-09,cancelled,electronics,card,1,21.0,967.15,,
O100186,C01508,2025-03-27,completed,electronics,card,2,24.0,503.23,11.0,2.0
O100187,C01560,2026-06-27,delivered,toys,sbp,1,10.0,245.19,6.0,4.0
O100188,C00104,2024-11-14,delivered,home,card,2,13.0,1776.6,9.0,3.0
O100189,C00423,2026-04-18,completed,electronics,card,1,7.0,324.81,12.0,1.0
O100190,C00008,2026-02-13,delivered,toys,wallet,1,15.0,247.52,11.0,3.0
O100191,C01132,2026-07-31,delivered,beauty,card,3,8.0,679.01,10.0,5.0
O100192,C00350,2024-10-14,cancelled,home,wallet,3,9.0,6593.6,,
O100193,C01833,2026-02-25,completed,electronics,card,4,11.0,1359.66,14.0,4.0
O100194,C00183,2026-03-22,completed,clothing,card,3,29.0,2875.44,8.0,5.0
O100195,C01299,2025-06-10,completed,clothing,card,5,0.0,3824.17,15.0,2.0
O100196,C01574,2026-07-16,completed,home,sbp,3,26.0,749.71,3.0,3.0
O100197,C00357,2024-09-18,delivered,home,card,2,28.0,1017.99,8.0,3.0
O100198,C00506,2025-04-01,completed,electronics,card,1,7.0,221.2,19.0,2.0
O100199,C01594,2024-02-04,completed,clothing,card,3,6.0,4707.76,16.0,1.0
O100200,C00186,2025-10-04,processing,clothing,card,2,8.0,475.57,12.0,
O100201,,2025-10-09,completed,beauty,cash,3,26.0,1979.96,13.0,3.0
O100202,C00501,2024-11-04,completed,electronics,card,5,4.0,1659.18,2.0,4.0
O100203,C00027,2025-09-04,CANCELED,home,cash,1,1.0,235.12,,
O100204,C00904,2026-07-31,delivered,toys,cash,2,4.0,2333.2,2.0,5.0
O100205,C00974,2025-03-28,completed,home,card,1,8.0,324.75,15.0,2.0
O100206,C00695,2024-04-04,processing,clothing,cash,4,,456.05,6.0,
O100207,C01625,2025-09-18,delivered,home,card,3,16.0,2075.72,16.0,2.0
O100208,C00193,2026-01-30,completed,beauty,sbp,1,15.0,279.78,14.0,2.0
O100209,C00860,2026-07-31,completed,beauty,card,4,4.0,2235.84,12.0,3.0
O100210,C00362,2026-07-31,processing,electronics,card,1,23.0,977.4,4.0,
O100211,C01517,2026-01-11,completed,electronics,sbp,4,30.0,2621.75,13.0,4.0
O100212,C01114,2025-01-07,cancelled,electronics,sbp,5,11.0,5016.47,,
O100213,C01412,2025-12-22,completed,electronics,card,3,17.0,523.26,3.0,5.0
O100214,C00216,2024-10-17,completed,home,card,4,9.0,5141.31,10.0,3.0
O100215,C00914,2026-07-31,cancelled,electronics,sbp,1,25.0,388.4,,
O100216,C00102,2024-08-06,processing,home,sbp,4,17.0,629.53,5.0,
O100217,C00647,2026-02-20,completed,home,cash,1,8.0,150.0,19.0,2.0
O100218,C01891,2024-11-28,completed,clothing,card,3,9.0,1155.05,12.0,2.0
O100219,C01454,2025-05-02,delivered,electronics,card,3,5.0,788.12,6.0,3.0
O100220,C00157,2024-06-01,delivered,clothing,wallet,4,29.0,1063.94,16.0,3.0
O100221,C00738,2025-10-13,completed,electronics,card,4,26.0,2575.46,8.0,4.0
O100222,C01742,2026-05-19,completed,toys,sbp,5,13.0,9756.16,3.0,4.0
O100223,C00341,2025-08-27,processing,clothing,card,4,6.0,958.12,12.0,
O100224,C01515,2024-12-25,completed,electronics,cash,1,6.0,530.4,13.0,2.0
O100225,C00642,2026-07-01,completed,electronics,card,4,11.0,1251.47,6.0,3.0
O100226,C00955,2026-01-11,completed,home,card,1,2.0,223.73,3.0,4.0
O100227,C01754,2025-01-05,completed,home,card,5,22.0,1093.01,5.0,4.0
O100228,C01346,2026-07-31,delivered,toys,sbp,5,2.0,9166.09,12.0,2.0
O100229,C00567,2025-06-07,completed,electronics,cash,2,7.0,996.02,19.0,1.0
O100230,C00018,2024-12-22,delivered,electronics,cash,1,12.0,423.24,6.0,4.0
O100231,C00470,2026-07-31,completed,beauty,wallet,5,20.0,1423.97,2.0,4.0
O100232,C00836,2025-12-22,completed,clothing,card,2,13.0,1039.96,14.0,2.0
O100233,C00267,2025-04-16,cancelled,clothing,sbp,5,29.0,1478.85,,
O100234,C01765,2025-06-21,delivered,toys,card,1,11.0,2307.75,14.0,3.0
O100235,C00111,2025-08-30,completed,home,card,2,16.0,1205.44,13.0,3.0
O100236,C01082,2026-07-31,completed,clothing,card,3,14.0,1652.72,9.0,4.0
O100237,C01954,2026-02-11,delivered,toys,wallet,1,8.0,541.01,17.0,2.0
O100238,C00670,2025-03-26,cancelled,electronics,cash,3,18.0,4208.49,,
O100239,C01074,2025-07-13,delivered,electronics,card,5,29.0,2420.63,3.0,5.0
O100240,C00147,2024-08-05,cancelled,electronics,wallet,1,5.0,336.58,,
O100241,C01460,2025-12-07,completed,electronics,sbp,3,28.0,1681.53,7.0,4.0
O100242,C01955,2026-07-31,processing,clothing,cash,1,25.0,928.04,6.0,
O100243,C01546,2026-02-20,completed,beauty,card,4,19.0,5077.96,17.0,1.0
O100244,C00299,2025-02-28,completed,toys,card,3,22.0,1755.7,13.0,2.0
O100245,C00705,2024-04-28,delivered,home,card,3,23.0,1775.99,4.0,4.0
O100246,C01448,2026-07-31,completed,toys,cash,3,10.0,3270.84,7.0,3.0
O100247,C01598,2026-07-01,completed,clothing,card,4,23.0,221.18,2.0,5.0
O100248,C00807,2026-03-12,completed,clothing,card,4,,2115.11,2.0,4.0
O100249,C01923,2026-04-12,delivered,electronics,card,5,13.0,1543.63,1.0,5.0
O100250,C00408,2024-06-18,cancelled,clothing,card,4,28.0,2064.68,,
O100251,C01484,2025-03-06,delivered,clothing,sbp,5,8.0,3274.76,18.0,2.0
O100252,C00993,2025-04-18,completed,electronics,card,1,2.0,1334.09,6.0,5.0
O100253,C01424,2026-07-10,completed,toys,card,1,2.0,162.78,17.0,1.0
O100254,C01193,2024-11-11,cancelled,electronics,card,3,12.0,831.47,,
O100255,C00865,2026-07-31,delivered,home,card,1,1.0,241.88,10.0,4.0
O100256,C01631,2025-08-26,delivered,electronics,card,5,28.0,1516.19,19.0,2.0
O100257,C01683,2024-11-04,completed,clothing,card,5,,823.26,19.0,2.0
O100258,C01635,2025-07-12,completed,home,card,3,24.0,8172.78,13.0,3.0
O100259,C00178,2024-07-26,completed,electronics,card,3,7.0,2966.69,2.0,5.0
O100260,C00847,2025-02-07,delivered,electronics,wallet,5,22.0,1324.95,3.0,5.0
O100261,C01500,2026-06-17,cancelled,home,card,3,3.0,1496.69,,
O100262,C01734,2026-04-26,processing,home,card,5,29.0,1740.0,10.0,
O100263,C00724,2025-01-02,completed,clothing,sbp,5,1.0,2791.51,10.0,3.0
O100264,C01482,2024-10-09,delivered,clothing,card,2,11.0,533.23,10.0,
O100265,C01132,2025-12-30,cancelled,electronics,cash,4,18.0,582.81,,
O100266,C00442,2025-09-18,completed,electronics,cash,1,19.0,311.75,2.0,5.0
O100267,C01786,2025-04-26,delivered,beauty,cash,1,10.0,1487.8,2.0,5.0
O100268,C00890,2024-09-11,delivered,electronics,card,1,1.0,150.21,16.0,3.0
O100269,C01211,2025-11-21,completed,clothing,card,5,30.0,5926.2,7.0,3.0
O100270,C00577,2026-07-31,completed,home,wallet,1,26.0,771.21,16.0,2.0
O100271,C00052,2024-08-29,completed,beauty,sbp,2,20.0,715.83,3.0,4.0
O100272,C00906,2026-07-31,delivered,electronics,cash,4,10.0,3591.56,16.0,3.0
O100273,C01446,2024-08-09,completed,home,card,1,29.0,582.25,15.0,1.0
O100274,C00655,2026-01-20,completed,home,card,1,5.0,150.0,2.0,5.0
O100275,C01859,2025-12-28,completed,electronics,cash,4,2.0,1426.05,6.0,3.0
O100276,C01501,2025-10-31,cancelled,electronics,card,5,24.0,1824.84,,
O100277,C01285,2025-06-20,cancelled,beauty,wallet,1,8.0,1565.56,,
O100278,C99999,2026-04-19,processing,clothing,wallet,4,23.0,1430.29,11.0,
O100279,C01723,2026-04-09,cancelled,electronics,card,3,24.0,1248.78,,
O100280,C01443,2026-07-31,completed,home,card,5,4.0,973.07,12.0,2.0
O100281,C01651,2024-11-28,completed,clothing,card,5,19.0,2342.1,9.0,3.0
O100282,C01427,2026-02-10,delivered,electronics,card,3,14.0,571.06,9.0,2.0
O100283,C01723,2026-05-29,delivered,electronics,card,5,11.0,5873.88,2.0,5.0
O100284,C00208,2026-07-31,delivered,clothing,cash,2,14.0,703.96,3.0,4.0
O100285,C00689,2025-10-05,completed,home,card,3,26.0,569.97,19.0,1.0
O100286,C01776,2024-10-14,processing,clothing,card,1,4.0,1313.44,3.0,
O100287,C00949,2026-07-31,completed,electronics,card,1,15.0,173.33,13.0,2.0
O100288,C00030,2025-09-04,delivered,home,card,4,22.0,2417.7,14.0,2.0
O100289,C01697,2025-08-08,cancelled,home,card,3,28.0,449.79,,
O100290,C01312,2025-01-17,delivered,clothing,wallet,1,17.0,622.92,4.0,5.0
O100291,C01821,2025-04-25,cancelled,electronics,card,5,16.0,5787.65,,
O100292,C00033,2024-09-02,delivered,electronics,sbp,5,5.0,1466.85,12.0,2.0
O100293,C00294,2024-11-16,cancelled,toys,card,2,18.0,383.49,,
O100294,C01021,2025-02-03,cancelled,electronics,cash,1,30.0,196.58,,
O100295,C00364,2026-07-31,completed,clothing,card,2,9.0,942.8,8.0,4.0
O100296,C01042,2026-04-02,completed,home,card,4,15.0,9215.98,6.0,4.0
O100297,C00694,2026-07-25,cancelled,beauty,card,1,2.0,1157.9,,
O100298,C00421,2026-07-31,delivered,toys,sbp,2,8.0,2513.75,20.0,1.0
O100299,C01541,2026-01-16,delivered,clothing,card,2,0.0,418.73,10.0,4.0
O100300,C00078,2025-01-18,completed,toys,card,4,27.0,4740.17,9.0,
O100301,C01750,2026-07-31,completed,electronics,card,2,8.0,2170.69,3.0,5.0
O100302,C00308,2025-07-05,delivered,beauty,cash,4,28.0,2515.68,20.0,2.0
O100303,,2025-12-24,processing,electronics,card,2,26.0,594.61,12.0,
O100304,C01984,2026-07-31,completed,toys,card,1,5.0,1072.51,5.0,4.0
O100305,C00227,2026-07-31,completed,beauty,cash,2,10.0,572.98,17.0,2.0
O100306,C01854,2024-08-21,completed,beauty,card,5,13.0,4168.09,11.0,3.0
O100307,C00608,2025-12-13,delivered,home,card,4,25.0,1453.5,9.0,4.0
O100308,C01483,2024-10-05,completed,electronics,card,3,29.0,671.96,16.0,3.0
O100309,C01715,2025-09-30,delivered,clothing,card,2,30.0,712.62,2.0,5.0
O100310,C00464,2025-12-11,completed,electronics,wallet,2,14.0,4757.47,11.0,3.0
O100311,C00696,2025-05-16,completed,home,cash,3,13.0,581.67,12.0,3.0
O100312,C01722,2026-01-21,completed,electronics,sbp,5,4.0,5446.09,17.0,3.0
O100313,C00206,2025-08-28,completed,electronics,cash,2,,1930.16,19.0,1.0
O100314,C00218,2025-03-25,cancelled,electronics,card,5,5.0,2125.86,,
O100315,C00605,2026-02-06,processing,beauty,wallet,2,26.0,633.63,19.0,
O100316,C01207,2025-04-23,cancelled,clothing,card,1,11.0,181.51,,
O100317,C01614,2025-12-22,cancelled,clothing,sbp,4,17.0,5525.82,,
O100318,C01126,2026-07-31,completed,electronics,card,1,7.0,190.24,11.0,3.0
O100319,C00987,2026-02-19,cancelled,clothing,cash,4,25.0,211.79,,
O100320,C01742,2026-05-15,delivered,clothing,wallet,5,23.0,3152.01,11.0,2.0
O100321,C00344,2025-09-12,cancelled,electronics,sbp,1,21.0,167.23,,
O100322,C01804,2025-02-15,delivered,home,sbp,3,26.0,1354.01,19.0,
O100323,C00626,2025-03-20,completed,clothing,sbp,1,11.0,168.17,19.0,2.0
O100324,C00552,2025-01-16,completed,toys,card,3,29.0,928.49,15.0,2.0
O100325,C01908,2024-12-27,completed,electronics,card,3,20.0,1562.65,5.0,4.0
O100326,C01292,2026-05-12,completed,clothing,card,1,2.0,612.31,18.0,3.0
O100327,C00864,2026-07-31,delivered,toys,card,1,0.0,1438.01,12.0,4.0
O100328,C00661,2024-08-20,processing,beauty,card,3,23.0,1479.9,13.0,
O100329,C00884,2024-06-15,completed,clothing,card,5,15.0,2684.3,10.0,3.0
O100330,C01584,2025-06-19,delivered,electronics,sbp,2,29.0,813.46,14.0,3.0
O100331,C00307,2025-03-11,delivered,clothing,cash,5,2.0,5159.52,2.0,5.0
O100332,C00349,2024-12-19,completed,home,card,1,21.0,199.37,18.0,2.0
