order_id,customer_id,order_date,status,category,payment_method,quantity,discount_percent,amount,delivery_days,rating,amount_raw,is_amount_outlier,amount_clean,is_successful,registration_date,country,city,age,signup_channel,marketing_consent,age_missing
O100077,C00214,2025-08-09,delivered,toys,wallet,1,23,171.63,6.0,5.0,171.63,0,171.63,1,2025-02-13,Russia,Moscow,33,referral,0,0
O100078,C01517,2025-05-24,completed,home,card,3,4,1587.29,19.0,2.0,1587.29,0,1587.29,1,2025-03-16,Russia,Kazan,70,organic,0,0
O100079,C01564,2026-07-31,cancelled,clothing,wallet,4,14,4260.23,,,4260.23,0,4260.23,0,2026-04-17,Russia,Moscow,50,referral,1,0
O100080,C00816,2026-07-31,cancelled,home,card,5,28,730.51,,,730.51,0,730.51,0,2026-02-02,Russia,Novosibirsk,50,email,1,0
O100081,C01380,2025-06-12,completed,home,sbp,4,8,7601.3,17.0,2.0,7601.3,1,5533.54,1,2025-05-08,Belarus,Minsk,51,ads,0,0
O100082,C00042,2026-07-31,delivered,electronics,card,2,15,1103.1,7.0,5.0,1103.1,0,1103.1,1,2025-11-22,Belarus,Minsk,34,referral,1,0
O100083,C01124,2024-11-30,completed,clothing,card,5,0,3907.29,10.0,,3907.29,0,3907.29,1,2024-08-10,Russia,Saint Petersburg,33,ads,1,0
O100084,C00545,2026-07-31,completed,electronics,sbp,4,17,1497.02,8.0,4.0,1497.02,0,1497.02,1,2026-01-27,Russia,Saint Petersburg,35,organic,1,0
O100085,C01642,2024-10-09,processing,clothing,card,3,10,1534.05,6.0,,1534.05,0,1534.05,0,2024-02-16,Kazakhstan,Astana,40,unknown,1,0
O100086,C00978,2026-03-07,delivered,beauty,card,4,3,963.66,3.0,5.0,963.66,0,963.66,1,2025-06-06,Georgia,Tbilisi,27,referral,1,0
O100087,C01703,2025-12-27,completed,clothing,cash,5,17,8493.86,12.0,3.0,8493.86,1,5533.54,1,2025-09-13,Russia,Kazan,25,ads,0,0
O100088,C01126,2026-04-11,cancelled,home,card,1,15,2068.22,,,2068.22,0,2068.22,0,2026-02-08,Russia,Kazan,63,organic,0,0
O100089,C00916,2025-04-15,processing,clothing,card,4,9,10977.76,1.0,,10977.76,1,5533.54,0,2025-02-22,Russia,Kazan,44,ads,1,1
O100090,C01894,2025-12-31,delivered,electronics,wallet,4,9,479.96,6.0,,479.96,0,479.96,1,2025-10-09,Belarus,Minsk,27,ads,1,0
O100091,C01993,2025-04-04,delivered,home,cash,5,30,3206.94,15.0,3.0,3206.94,0,3206.94,1,2024-09-18,Russia,Kazan,25,ads,1,0
O100092,C00912,2025-01-29,cancelled,home,sbp,3,19,2088.72,,,2088.72,0,2088.72,0,2024-06-16,Russia,Saint Petersburg,25,email,1,0
O100093,C00716,2026-07-31,delivered,beauty,sbp,2,21,560.43,14.0,2.0,560.43,0,560.43,1,2025-12-29,Kazakhstan,Astana,55,organic,1,0
O100095,C00344,2026-02-11,cancelled,beauty,card,3,29,468.4,,,468.4,0,468.4,0,2025-04-14,Russia,Novosibirsk,27,ads,1,0
O100096,C00773,2024-05-14,delivered,electronics,card,3,9,4797.68,20.0,2.0,4797.68,0,4797.68,1,2024-01-05,Belarus,Minsk,29,ads,0,0
O100097,C01692,2026-07-31,completed,home,sbp,5,29,722.63,5.0,5.0,722.63,0,722.63,1,2026-03-22,Russia,Kazan,48,ads,1,0
O100098,C01794,2025-08-24,completed,clothing,sbp,5,29,3010.26,14.0,2.0,3010.26,0,3010.26,1,2024-09-10,Georgia,Tbilisi,53,ads,1,0
O100099,C00832,2025-04-23,completed,home,cash,3,6,2779.33,16.0,3.0,2779.33,0,2779.33,1,2024-08-07,Georgia,Tbilisi,20,organic,1,0
O100100,C00781,2026-07-31,completed,home,sbp,4,10,1220.11,3.0,4.0,1220.11,0,1220.11,1,2026-03-11,Russia,Moscow,23,referral,0,0
O100101,C01749,2026-07-31,completed,electronics,card,4,22,5909.86,6.0,4.0,5909.86,1,5533.54,1,2026-01-04,Russia,Saint Petersburg,20,ads,1,0
O100102,C00405,2025-05-19,delivered,clothing,card,4,15,457.74,10.0,3.0,457.74,0,457.74,1,2025-03-31,Russia,Kazan,69,organic,1,0
O100103,C00123,2026-04-21,processing,home,card,4,14,1923.28,12.0,,1923.28,0,1923.28,0,2025-08-19,Kazakhstan,Astana,50,ads,1,0
O100104,C00146,2026-07-31,completed,electronics,cash,1,12,150.0,15.0,1.0,150.0,0,150.0,1,2026-02-17,Russia,Kazan,61,ads,1,0
O100105,C00223,2026-04-14,completed,home,card,3,19,796.31,12.0,3.0,796.31,0,796.31,1,2025-10-04,Armenia,Yerevan,37,email,1,0
O100106,C01760,2026-01-22,cancelled,beauty,card,4,20,1327.75,,,1327.75,0,1327.75,0,2025-06-13,Russia,Moscow,41,ads,1,0
O100107,C00081,2026-05-28,completed,electronics,card,3,14,948.36,13.0,2.0,948.36,0,948.36,1,2026-05-07,Russia,Moscow,37,ads,1,0
O100108,C00665,2026-02-03,cancelled,home,card,4,17,5448.04,,,5448.04,0,5448.04,0,2025-06-28,Armenia,Yerevan,48,ads,1,0
O100109,C01205,2025-11-29,delivered,beauty,card,2,1,385.77,1.0,5.0,385.77,0,385.77,1,2025-08-16,Russia,Kazan,44,organic,1,1
O100110,C01219,2026-07-31,delivered,electronics,card,5,11,710.53,13.0,2.0,710.53,0,710.53,1,2026-01-08,Georgia,Tbilisi,28,email,1,0
O100111,C01664,2025-09-12,completed,electronics,card,1,21,349.03,10.0,3.0,349.03,0,349.03,1,2025-05-19,Russia,Novosibirsk,30,ads,1,0
O100112,C01962,2026-07-31,completed,home,card,4,23,2158.05,8.0,4.0,2158.05,0,2158.05,1,2026-06-20,Georgia,Tbilisi,20,referral,0,0
O100113,C00806,2026-05-06,delivered,home,card,4,15,2947.91,16.0,3.0,2947.91,0,2947.91,1,2025-12-13,Belarus,Gomel,44,referral,1,0
O100114,C00467,2025-02-09,completed,beauty,card,1,20,1240.24,8.0,3.0,1240.24,0,1240.24,1,2024-05-31,Russia,Kazan,69,organic,0,0
O100115,C00182,2025-04-30,completed,home,card,2,4,176.47,15.0,3.0,176.47,0,176.47,1,2024-05-18,Russia,Moscow,25,ads,1,0
O100116,C01783,2024-05-27,completed,home,wallet,5,19,9512.38,7.0,4.0,9512.38,1,5533.54,1,2024-01-22,Belarus,Gomel,46,organic,1,0
O100117,C00747,2025-07-15,delivered,clothing,card,4,20,1024.08,9.0,2.0,1024.08,0,1024.08,1,2025-04-30,Kazakhstan,Astana,39,referral,1,0
O100118,C01797,2026-07-31,delivered,electronics,card,4,17,1577.37,6.0,5.0,1577.37,0,1577.37,1,2026-06-08,Belarus,Minsk,56,referral,1,0
O100119,C00697,2026-05-05,delivered,home,sbp,5,4,2509.84,3.0,5.0,2509.84,0,2509.84,1,2025-10-20,Russia,Kazan,67,email,1,0
O100120,C01513,2026-04-23,delivered,electronics,card,1,28,150.0,5.0,,150.0,0,150.0,1,2025-11-09,Russia,Moscow,20,ads,1,0
O100121,C01287,2026-07-31,completed,toys,card,5,27,1743.22,11.0,2.0,1743.22,0,1743.22,1,2026-04-07,Armenia,Yerevan,60,organic,1,0
O100123,C01305,2026-02-20,cancelled,electronics,card,2,0,1633.18,,,1633.18,0,1633.18,0,2025-07-10,Russia,Novosibirsk,66,ads,0,0
O100124,C00614,2025-12-10,completed,beauty,wallet,2,2,660.36,20.0,1.0,660.36,0,660.36,1,2024-12-17,Russia,Moscow,54,referral,0,0
O100125,C00207,2026-02-11,delivered,electronics,card,2,13,1168.62,17.0,2.0,1168.62,0,1168.62,1,2025-11-27,Belarus,Minsk,33,ads,1,0
O100126,C00022,2025-10-29,completed,clothing,sbp,4,29,2851.27,20.0,2.0,2851.27,0,2851.27,1,2024-12-04,Kazakhstan,Astana,34,organic,0,0
O100127,C00841,2025-09-05,processing,toys,wallet,2,10,801.21,16.0,,801.21,0,801.21,0,2024-09-20,Russia,Moscow,69,organic,0,0
O100128,C01784,2026-07-31,completed,beauty,sbp,2,9,1461.38,5.0,5.0,1461.38,0,1461.38,1,2026-05-20,Russia,Kazan,57,organic,1,0
O100129,C01286,2024-06-15,completed,electronics,card,3,27,779.19,8.0,3.0,779.19,0,779.19,1,2024-02-14,Russia,Moscow,33,organic,0,0
O100130,C01349,2025-12-30,processing,electronics,card,4,0,925.21,8.0,,925.21,0,925.21,0,2025-11-01,Russia,Novosibirsk,44,referral,0,1
O100131,C00518,2024-03-18,delivered,home,card,3,23,1165.63,13.0,3.0,1165.63,0,1165.63,1,2024-03-01,Georgia,Tbilisi,29,email,1,0
O100132,C00973,2026-03-05,completed,clothing,card,1,17,150.0,3.0,4.0,150.0,0,150.0,1,2025-03-11,Kazakhstan,Almaty,51,ads,0,0
O100133,C00815,2026-05-16,delivered,electronics,sbp,1,8,858.01,11.0,3.0,858.01,0,858.01,1,2025-12-10,Kazakhstan,Astana,56,ads,1,0
O100134,C00273,2025-01-16,cancelled,electronics,card,5,20,2633.2,,,2633.2,0,2633.2,0,2024-05-18,Russia,Saint Petersburg,65,organic,1,0
O100135,C01228,2026-07-31,completed,beauty,card,3,10,1237.53,5.0,5.0,1237.53,0,1237.53,1,2026-06-16,Russia,Saint Petersburg,55,ads,0,0
O100136,C00727,2026-02-14,delivered,clothing,cash,1,25,931.91,11.0,3.0,931.91,0,931.91,1,2025-10-19,Russia,Novosibirsk,51,organic,1,0
O100137,C00806,2026-07-31,delivered,beauty,card,2,19,1343.23,6.0,4.0,1343.23,0,1343.23,1,2025-12-13,Belarus,Gomel,44,referral,1,0
O100139,C00062,2026-01-29,processing,home,card,2,30,3487.78,15.0,,3487.78,0,3487.78,0,2025-11-10,Belarus,Minsk,19,referral,0,0
O100140,C01873,2025-07-05,delivered,clothing,cash,1,23,641.91,12.0,3.0,641.91,0,641.91,1,2025-07-04,Russia,Saint Petersburg,44,organic,1,1
O100141,C00446,2026-06-22,delivered,clothing,card,5,12,1385.26,15.0,2.0,1385.26,0,1385.26,1,2025-08-27,Russia,Novosibirsk,63,organic,1,0
O100142,C01359,2024-05-02,cancelled,home,sbp,2,19,1759.98,,,1759.98,0,1759.98,0,2024-04-03,Georgia,Tbilisi,25,organic,1,0
O100143,C01553,2025-05-14,completed,electronics,card,1,25,277.79,15.0,2.0,277.79,0,277.79,1,2025-05-01,Belarus,Minsk,49,ads,0,0
O100144,C00308,2025-09-06,completed,beauty,cash,4,15,1071.15,2.0,5.0,1071.15,0,1071.15,1,2025-05-20,Belarus,Minsk,53,ads,1,0
O100145,C00498,2025-11-11,processing,home,card,5,22,1949.46,7.0,,1949.46,0,1949.46,0,2024-12-07,Belarus,Minsk,41,organic,0,0
O100146,C00825,2026-03-14,delivered,electronics,card,3,25,3733.55,9.0,3.0,3733.55,0,3733.55,1,2025-07-22,Kazakhstan,Astana,31,organic,1,0
O100147,C01636,2025-05-19,completed,home,cash,1,21,897.98,11.0,3.0,897.98,0,897.98,1,2025-05-04,Russia,Kazan,36,organic,1,0
O100148,C01272,2025-03-09,completed,toys,sbp,3,15,3002.76,12.0,2.0,3002.76,0,3002.76,1,2024-04-09,Belarus,Minsk,62,referral,1,0
O100149,C00934,2026-07-23,completed,clothing,card,4,7,2174.62,4.0,,2174.62,0,2174.62,1,2025-08-15,Kazakhstan,Almaty,35,ads,1,0
O100150,C01699,2025-08-05,completed,clothing,cash,5,6,3885.33,11.0,4.0,3885.33,0,3885.33,1,2024-11-24,Russia,Novosibirsk,60,ads,1,0
O100151,C00946,2024-05-14,completed,beauty,card,1,0,796.88,14.0,1.0,796.88,0,796.88,1,2024-04-18,Georgia,Tbilisi,57,organic,1,0
O100152,C01772,2024-12-15,delivered,electronics,cash,3,14,852.33,8.0,4.0,852.33,0,852.33,1,2024-12-10,Kazakhstan,Almaty,19,referral,1,0
O100153,C01542,2025-06-22,completed,home,sbp,1,14,788.89,8.0,4.0,788.89,0,788.89,1,2024-08-08,Russia,Novosibirsk,58,organic,1,0
O100154,C00345,2026-07-31,delivered,electronics,cash,3,11,1473.6,8.0,4.0,1473.6,0,1473.6,1,2026-04-05,Georgia,Tbilisi,55,organic,1,0
O100155,C00767,2026-05-11,processing,home,card,1,18,356.39,7.0,,356.39,0,356.39,0,2025-07-12,Georgia,Tbilisi,68,ads,0,0
O100156,C00051,2026-05-20,processing,clothing,card,3,9,1111.01,14.0,,1111.01,0,1111.01,0,2025-11-24,Belarus,Gomel,19,organic,1,0
O100157,C00477,2026-07-31,cancelled,electronics,card,3,14,950.2,,,950.2,0,950.2,0,2026-02-11,Russia,Kazan,48,ads,1,0
O100158,C00046,2026-07-31,completed,beauty,card,5,24,1967.85,4.0,5.0,1967.85,0,1967.85,1,2026-06-04,Russia,Moscow,62,ads,0,0
O100159,C00211,2024-09-08,delivered,clothing,cash,1,0,489.56,1.0,5.0,489.56,0,489.56,1,2024-08-26,Kazakhstan,Astana,52,organic,0,0
O100160,C00009,2024-09-20,delivered,clothing,cash,2,2,1677.66,11.0,4.0,1677.66,0,1677.66,1,2024-07-02,Kazakhstan,Astana,55,ads,1,0
O100161,C01344,2026-01-20,completed,home,sbp,3,8,4944.56,9.0,3.0,4944.56,0,4944.56,1,2025-06-08,Russia,Saint Petersburg,30,ads,0,0
O100162,C00820,2026-07-31,cancelled,clothing,card,1,12,776.5,,,776.5,0,776.5,0,2026-06-30,Belarus,Minsk,57,ads,1,0
O100163,C00940,2025-11-19,delivered,electronics,cash,1,26,541.17,11.0,3.0,541.17,0,541.17,1,2025-04-08,Russia,Novosibirsk,44,referral,0,0
O100164,C01529,2024-06-27,delivered,home,card,3,1,298.42,10.0,3.0,298.42,0,298.42,1,2024-01-19,Kazakhstan,Almaty,26,ads,0,0
O100165,C01619,2024-11-09,completed,toys,card,2,5,6824.61,2.0,4.0,6824.61,1,5533.54,1,2024-04-20,Kazakhstan,Almaty,36,organic,1,0
O100166,C01066,2025-12-01,completed,electronics,card,4,8,1118.71,16.0,3.0,1118.71,0,1118.71,1,2024-12-19,Georgia,Tbilisi,40,ads,0,0
O100167,C00916,2025-10-10,cancelled,beauty,card,1,0,287.01,,,287.01,0,287.01,0,2025-02-22,Russia,Kazan,44,ads,1,1
O100168,C01300,2025-01-10,completed,home,card,1,28,1354.71,4.0,4.0,1354.71,0,1354.71,1,2024-01-28,Kazakhstan,Astana,51,referral,0,0
O100169,C00830,2025-01-14,completed,electronics,sbp,2,3,408.37,20.0,2.0,408.37,0,408.37,1,2024-01-27,Russia,Kazan,44,organic,0,0
O100170,C00885,2026-07-31,delivered,home,card,5,19,3317.16,1.0,5.0,3317.16,0,3317.16,1,2026-01-11,Russia,Saint Petersburg,66,organic,1,0
O100171,C00598,2026-07-31,delivered,clothing,card,3,13,1020.75,10.0,5.0,1020.75,0,1020.75,1,2025-12-11,Russia,Saint Petersburg,58,email,0,0
O100172,C00380,2024-11-25,completed,beauty,card,2,26,805.12,7.0,3.0,805.12,0,805.12,1,2024-08-27,Russia,Novosibirsk,55,referral,0,0
O100173,C00399,2025-03-20,completed,home,card,3,17,1538.21,9.0,4.0,1538.21,0,1538.21,1,2024-09-12,Russia,Moscow,67,referral,1,0
O100174,C01311,2025-05-20,cancelled,electronics,card,4,27,758.52,,,758.52,0,758.52,0,2025-04-23,Georgia,Tbilisi,18,organic,1,0
O100175,C01661,2025-08-21,processing,electronics,cash,3,21,1339.2,12.0,,1339.2,0,1339.2,0,2025-07-19,Kazakhstan,Almaty,56,organic,1,0
O100176,C00848,2024-04-05,delivered,clothing,card,1,25,1119.64,13.0,2.0,1119.64,0,1119.64,1,2024-02-17,Belarus,Minsk,61,referral,1,0
O100177,C00191,2025-11-02,cancelled,clothing,card,2,17,928.39,,,928.39,0,928.39,0,2025-09-15,Russia,Moscow,26,organic,1,0
O100178,C01221,2026-01-11,completed,toys,card,5,2,40469.2,2.0,4.0,40469.2,1,5533.54,1,2025-08-15,Russia,Kazan,22,ads,0,0
O100179,C01805,2025-01-13,delivered,beauty,card,4,19,2120.87,3.0,5.0,2120.87,0,2120.87,1,2024-04-26,Russia,Novosibirsk,63,referral,0,0
